Column1,short_description
278,बूम पत लग असल तस्वीर गहलोत वर्ष 2018 राजस्थान असेंबल चुनाव जीत ख़ुश मन नज़र आ रह 
399,बूम पाय विवादित सीम देख सक मैप भारत के देख जाए 
402,ट्वीट वायरल स्क्रीनशॉट कह अमित शाह मुस्लिम समुदाय विन रह उनक अच्छ स्वास्थ के 
602,बूम पाय वीडिय 2015 इंदौर पुलिस द्वार अपराध पिट उत्तर प्रदेश सीएए प्रदर्शन 
727,अदालत शाह मस्जिद समित समेत चार पक्ष नोटिस जार किय 
227,भारत ऑस्ट्रेलिय के खेल रह दूसर टेस्ट मैच के चौथ दिन खेल शुर गय मैच मेलबर्न क्रिकेट ग्राउंड खेल रह 
5,यूज़र्स तस्वीर शेयर दाव रह तस्वीर पुरा दिल्ल रेलव स्टेशन के प्लेटफ़ॉर्म बन मस्जिद 
543,बिहार चुनाव पहल बिक 280 करोड़ के इलेक्टोरल बॉन्ड लव जेहाद अध्यादेश लाएग योग सरकार के अख़बार अहम सुर्ख 
452,बूम स्थानीय पुलिस बात कह हल्द्वा के बनभूलपुर क्षेत्र के निवास के व्हाट्सएप्प मौखिक 
22,दाव किय रह अडा ग्रुप के हाथ के प्लेटफॉर्म टिकट के दाम दस गु बढ़ दिए 
547,सलमान राव मई 2020 किय उनक फ़ेसबुक लाइव के सम्मानित किय गय 
240,क्य किसान आंदोलन राजनीतिक रुख लेग बीबीस के सहय पत्रकार समीरात्मज मिश्र बत रह हाल 
680,अमरीक के ख़ुफ़िय अधिकार कह रूस ईरान 3 नवंबर वाल राष्ट्रपत चुनाव पहल वोटर्स प्रभावित कोशिश लग 
604,धर्मांतरण विरोध क़ानून हरियाण सरकार हिमाचल प्रदेश लाग क़ानून जानकार मांग रह 
621,बूम स्पी पहचान फ़ारुक अहमद के रूप वंचित बहुजन अगाड़ के 
748,गुरुवार राज्य सात मही के सिनेमाघर मल्टीप्लेक्स दोबार खुल रह 
329,भारत हर साल लाख लोग वाय प्रदूषण वजह अकाल मौत शिकार रह 
367,खनचंदा कोर्ट पेश किय जाएग खनचंदा पहल मामल बार पूछताछ चुक 
295,बूम डॉक्टर राण सिंह बात पत लग वीडिय 15 जुल महावीर कैंसर संस्थान रिकॉर्ड किय 
519,बूम मंदर के लंब भाषण सु जह प्रदर्शनकार भारत के संविधान के सच्च आदर्श रक्ष के 
650,सप्ताह भारत राष्ट्रीय जाँच एजेंस ग्रेटर कश्मीर के दफ़्तर एएफ़प के पत्रकार परवेज़ बुख़ार के घर छापेमार 
465,बूम पाय फ़ार्मासिस्ट मृत्य ब्रेन हैमरेज वजह थीं ना मुस्लिम द्वार किय हमल वजह जैस 
415,प्रधानमंत्र मोद बुर प्रभावित राज्य कह वो टेस्टिंग कॉन्टैक्ट ट्रेसिंग शीर्ष प्राथमिक दें 
663,अप घर चमक रख उसक अलाव मतलब ना रख नए समाज कड़व सच्च बन गय 
634,मोबाइल वीडिय गेम के वीडिय फुटेज़ सुलेमा अमेरिक ड्रोन हमल बत ग़लत तरीक शेयर किय रह है। 
268,आयुर्वेद प्रैक्टिशनर शर्म 1994-2004 हत्य दोष साबित चुक इनक कोविड-19 सम्बन्ध नह 
279,बूम पाय वीडिय करीब साल पुर प्रधानमंत्र नरेंद्र मोद के आधिकारिक ट्विटर हैंडल पोस्ट किय गय । 
720,वीडिय अमेरिक के टेक्सास वायरल जह स्थानीय पुलिस कह घट मेक्सिक सक 
27,किसान आंदोलन जोड़ तस्वीर सोशल मीडिय यूज़र्स श्रद्धांजल अर्पित शेयर रह हैं। 
597,बूम पाय कैप्शन भ्रामक क्योंक लिंगायत गुर टिप्पण नागरिक संशोधन अधिनियम संबंधित नह थी। 
540,बूम पाय चार तस्वीर सेट पुर औऱ उत्तर-पूर्व दिल्ल हिंस संबंधित नह है। 
758,पीएमओ डेट पूर्व पीएम मनमोहन सिंह के अर्काइव पत चल मोद विदेश यात्र के संबंध अमित शाह दाव 
225,नेपाल के पत्रकार कह ची कम्युनिस्ट पार्ट नेपाल के आंतरिक मामल दखल दे रह 
391,राष्ट्रपत चुनाव के नतीज ख़ारिज डोनाल्ड ट्रंप कोशिश सुप्रीम कोर्ट नकार 
313,पिछल पाँच साल भारत के ज़्यादातर राज्य कुपोषण बार बढ़ दिख रह हैइसक वजह जान के पढ़ ख़बर 
440,हिंद अख़बार दैनिक जागरण अप्रैल 24 समाजवाद पार्ट अध्यक्ष अखिलेश यादव तस्वीर गलत लेख के छाप दी 
142,बूम पाय शहीद-ए-आज़म भगत सिंह चार तस्वीर मिल वायरल तस्वीर उनम नह है। 
253,बूम पाय असल तस्वीर मोद महात्म गाँध मूर्त नमन रह 
632,फ़िल्म मज़दूर मट्ट उसक साइकिल ज़िंदग नाम के परमानेंट लॉकडाउन फँस उसक नीच जात ग़रीब बीमार रह 
412,आमिर खान वायरल रह दाव ट्वीट फ़र्ज़ बत ख़ुदक सूच लिय है। 
57,भारत चौथ टेस्ट मैच बि अहम खिलाड़ के खेल रह रविंद्र जडेज जसप्रीत बुमराह अश्विन चोट के कारण पड़ 
133,हिटमैन के नाम मशहूर रोहित शर्म ज़िंदग उनक खेल जुड़ किस्स सुन 
685,कांग्रेस राहुल गांध कह चीन भारत धर कब्ज लिय पीएम मोद चीन नाम नह ले 
481,मुंबई पुलिस बूम पुष्ट वायरल ऑडिय क्लिप नकल हैं। 
436,बूम पाय असल तस्वीर साल 1954 ली गय अभिनेत्र मर्लिन मोनर 
2,सोशल मीडिय प्लेटफ़ॉर्म फ़ेसबुक ट्विटर दाव के बड़ संख्य तस्वीर के पोस्ट शेयर किय रह है। 
104,तीन कृष क़ानून विरोध रह किसान के सरकार के आठ दौर बातचीत के गतिरोध ख़त्म नह 
85,स्पूफ़ मज़ाकिय वीडिय यूनाइटेड किंगडम के एड फ़िल्म बन वाल 2005 बन 
221,भूकंप के कारण जान-माल काफ नुकसान सात लोग मौत काफ संख्य लोग जख़्म 
107,बूम पाय वायरल रह तस्वीर पुरा 
233,बूम सोशल मीडिय वायरल पोस्ट्स पड़ताल जिनम दाव किय गय विनाशकार बाढ़ चीन अप चपेट ले रह 
148,बिल मिलिंड गेट्स फाउंडेशन के प्रवक् वायरल रह मैसेज ख़ारिज किय 
677,चीन बत पहाड़ तैनात अप जवान के क्य व्यवस्थ पढ़ के अख़बार प्रमुख सुर्ख़ 
536,बूम पाय वायरल वीडिय दिसंबर 2019 गुजरात के अहमदाबाद सीएए के विरोध प्रदर्शन के फिल्म गय 
581,उनक कदम उनक रिश्तेदार दोस्त मां क्य कह 
211,स्क्रीनशॉट वायरल कंग रनौत स्कूल कॉलेज के खुल के सम्बन्ध फ़र्ज़ दाव रह 
324,द प्रेसिडेंशियल इयर्स के अंश के मुताबिक़ दिवंगत राष्ट्रपत प्रणब मुखर्ज लिख उनक राष्ट्रपत बन के सोनिय गाँध मनमोहन सिंह सरकार बच व्यस्त 
